bitPosition,castFlags,CTDFileFlags,CTDParameterFlags,niskinFlags,discreteSampleFlags,discreteReplicateFlags
0,"Notes/Other","Notes/Other","Notes/Other","Notes/Other","Notes/Other","Notes/Other"
1,"Delayed start to data collection","Data cast only, no Niskins triggered","Not calibrated","Bottle information unavailable","Sample for this measurement was drawn from water bottle but analysis not received","Duplicate analysis on same sample"
2,"Acceptable; normal cast according to SOP","Acceptable; file processed according to SOP","Acceptable measurement","No problems noted","Acceptable; sample processed according to SOP","Single sample"
3,"Non-standard winch speed","File processed using modified parameters","Questionable measurement","Leaking","Questionable measurement","Duplicate analysis from same Niskin"
4,"Non-standard surface soak time","File processed using alternate XMLCON","Bad measurement","Ran out of water during sampling","Bad measurement","Triplicate analysis from same Niskin"
5,"Non-standard bottle soak time before Niskin trip","Missing scans as indicated by modulo error counts","Not reported","Vent open","Not reported","Unassigned"
6,"Sensor issues but cast completed and data collected","Missing metadata","Calibration coefficients > 1 year old","Misfire at wrong depth","Sample collected out of order","Unassigned"
7,"Cable issues but cast completed and data collected","Unassigned","Corresponding discrete sample","Unknown problem","Sample processed using alternative method; see notes","Unassigned"
8,"Winch issues but cast completed and data collected","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned"
9,"Premature cast end with data and/or data loss","Unassigned","Unassigned","Sample not drawn for this measurement from this bottle","Unassigned","Unassigned"
10,"Significant ship heave","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned"
11,"Station position not adequately maintained during cast","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned"
12,"Tow-yo, Yo-yo cast","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned"
13,"ROV bottle sample","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned"
14,"Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned"
15,"Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned"
