date,array_rd,cruise_id,alfresco_path,folder_url
20150704,RS,TN326,OOI > Cabled Array > Cruise Data > Cabled-06_TN-326_2015-7-04 > Ship Data > Water Sampling,https://alfresco.oceanobservatories.org/alfresco/n/browse/workspace/SpacesStore/2201c008-1e97-4437-8f7c-2f9229e8f04e
20160711,RS,SKQW201610S,OOI > Cabled Array > Cruise Data > Cabled-07_SKQW201610S_2016-07-11 > Shipboard Data > Water Sampling,https://alfresco.oceanobservatories.org/alfresco/n/browse/workspace/SpacesStore/4df0427c-bd55-4c4a-9ccf-33fc53018f74
20170727,RS,RR1713-RR1717,OOI > Cabled Array > Cruise Data > Cabled-08_RR1713-RR1717_2017-07-27 > Shipboard Data > Water Sampling,https://alfresco.oceanobservatories.org/alfresco/n/browse/workspace/SpacesStore/89de681c-64bd-4843-ad9f-27c12cf0018e
20180723,RS,RR1809-RR1812,OOI > Cabled Array > Cruise Data > Cabled-09_RR1809-RR1812_2018-07-23 > Ship Data > Water Sampling,https://alfresco.oceanobservatories.org/alfresco/n/browse/workspace/SpacesStore/f2cc7f1c-71b8-4e4e-b4a9-edf663c75148
20190805,RS,AT4212,OOI > Cabled Array > Cruise Data > Cabled-10_AT4212_2019-08-05 > Ship Data > Water Sampling,https://alfresco.oceanobservatories.org/alfresco/n/browse/workspace/SpacesStore/f2ead58f-1d57-4c99-b882-6a59d72371ac
20200801,RS,TN382,OOI > Cabled Array > Cruise Data > Cabled-11_TN382_2020-08-01 > Ship Data > Water Sampling,https://alfresco.oceanobservatories.org/alfresco/n/browse/workspace/SpacesStore/300ed8dd-ccf4-42e2-8048-03659dc0332b
20210730,RS,TN393,OOI > Cabled Array > Cruise Data > Cabled-12_TN393_2021-07-30 > Ship Data > Water Sampling,https://alfresco.oceanobservatories.org/alfresco/n/browse/workspace/SpacesStore/30a7e2b0-5bac-4610-a503-a223e236f843
20141003,CE,OC1410A,OOI > Coastal Endurance Array > Cruise Data > Endurance-02_OC1410A_2014-10 > Ship Data > Water Sampling,https://alfresco.oceanobservatories.org/alfresco/n/browse/workspace/SpacesStore/4e17fbea-494d-4a3d-9cf0-3e4c708125d5
20150330,CE,OC1503D-PS1506A,OOI > Coastal Endurance Array > Cruise Data > Endurance-03_OC-1503D_2015-04 > Ship Data > Water Sampling,https://alfresco.oceanobservatories.org/alfresco/n/browse/workspace/SpacesStore/bcb4817c-5174-4e48-a89f-6cde5d41f1cd
20150921,CE,TN330,OOI > Coastal Endurance Array > Cruise Data > Endurance-04a_TH-330_2015-09 > Ship Data > Water Sampling,https://alfresco.oceanobservatories.org/alfresco/n/browse/workspace/SpacesStore/757a12d8-f8e2-45a3-b2a2-4adbfbb60f5d
20160504,CE,TN342,OOI > Coastal Endurance Array > Cruise Data > Endurance-05_TN-342_2016_05 > Ship Data > Water Sampling,https://alfresco.oceanobservatories.org/alfresco/n/browse/workspace/SpacesStore/76a9060f-5d16-4d9c-973e-a55642b15e42
20160918,CE,AT37-03,OOI > Coastal Endurance Array > Cruise Data > Endurance-06_AT37-03_2016-09 > Ship Data > Water Sampling,https://alfresco.oceanobservatories.org/alfresco/n/browse/workspace/SpacesStore/e00f6172-3a9d-47b4-abe4-fdf0e45dc442
20170409,CE,SKQ201704S,OOI > Coastal Endurance Array > Cruise Data > Endurance-07_SKQ201704S_2017-04 > Ship Data > Water Sampling,https://alfresco.oceanobservatories.org/alfresco/n/browse/workspace/SpacesStore/ce126744-a3c9-4a16-aa8f-3cf25b1a79b8
20171002,CE,SKQ201715S,OOI > Coastal Endurance Array > Cruise Data > Endurance-08_SKQ201715S_2017-10 > Ship Data > Water Sampling,https://alfresco.oceanobservatories.org/alfresco/n/browse/workspace/SpacesStore/9309efd2-9f44-4ae2-a3d9-28d64703974e
20180325,CE,SKQ201808S,OOI > Coastal Endurance Array > Cruise Data > Endurance-09_SKQ201808S_2018-03 > Ship Data > Water Sampling,https://alfresco.oceanobservatories.org/alfresco/n/browse/workspace/SpacesStore/49211cb1-b0c8-447c-b87e-b1a3d4bd20c3
20180917,CE,SR1813,OOI > Coastal Endurance Array > Cruise Data > Endurance-10_SR1813_2018-09 > Ship Data > Water Sampling,https://alfresco.oceanobservatories.org/alfresco/n/browse/workspace/SpacesStore/61561787-6553-4b60-bd72-da4fe5c79945
20190419,CE,SKQ201910S,OOI > Coastal Endurance Array > Cruise Data > Endurance-11a_SKQ201910S_2019-04 > Ship_Data > Water Sampling,https://alfresco.oceanobservatories.org/alfresco/n/browse/workspace/SpacesStore/5f60f51e-0adc-4da5-8c4c-dae8fb5dbd18
20191009,CE,SKQ201921S,OOI > Coastal Endurance Array > Cruise Data > Endurance-12_SKQ201921S_2019-10 > Ship_Data > Water Sampling,https://alfresco.oceanobservatories.org/alfresco/n/browse/workspace/SpacesStore/6c4359bc-956e-466e-974e-b0a132ef8440
20200703,CE,TN380,OOI > Coastal Endurance Array > Cruise Data > Endurance-13_TN380_2020-07 > Ship_Data > Water Sampling,https://alfresco.oceanobservatories.org/alfresco/n/browse/workspace/SpacesStore/04b4649b-7ec3-435e-97f6-cc64833fe70f
20210324,CE,SKQ202104S,OOI > Coastal Endurance Array > Cruise Data > Endurance-14_SKQ202104S_2021-03 > Ship_Data > Water Sampling,https://alfresco.oceanobservatories.org/alfresco/n/browse/workspace/SpacesStore/cda07727-db41-4c89-9e98-5eaf83a1bbe0
20210908,CE,TN394,OOI > Coastal Endurance Array > Cruise Data > Endurance-15_TN394_2021-09 > Ship_Data > Water Sampling,https://alfresco.oceanobservatories.org/alfresco/n/browse/workspace/SpacesStore/30b6b088-aa5e-4fef-9f4e-024d102f0971
